,LoanStatus,Source,ModifiedCreditScore,ModifiedBankruptcyScore,EmploymentStatus,EmployedMonths,TotalMonthlyIncome,PrimeMonthlyLiability,PrimeMonthlyRent,TotalMonthlyDebtBeforeLoan,VehicleYear,VehicleMake,VehicleMileage,isNewVehicle,TotalVehicleValue,AmountRequested,DownPayment,Loanterm,OccupancyStatus,OccupancyDuration,EstimatedMonthlyPayment,NumberOfOpenRevolvingAccounts,LTV,RequestType,DTI,MemberIndicator,CoApplicantIndicator
1703,Approved,GATEWAY,766,491,Employed,6,2733.33,0.0,300.0,300.0,6,NISSAN,22715.0,N,15700.0,15506.0,2000.0,72.0,LIVEWITHPARENTS,108,237.96,1.0,0.9876,INDIRECT,0.10976,N,N
1706,Declined,GATEWAY,0,336,Employed,18,3001.0,0.0,300.0,300.0,6,HYUNDAI,31256.0,N,20902.6956131264,13450.0,1000.0,72.0,OTHER,18,186.81,0.0,0.9986677530706456,INDIRECT,0.09997,N,N
1708,Approved,LENDER,689,301,Employed,4,3452.67,660.54,300.0,960.54,0,UNDECIDED,0.0,N,20902.6956131264,18000.0,0.0,48.0,LIVEWITHPARENTS,305,412.31,6.0,0.9986677530706456,PREAPPROVAL,0.2782,Y,N
1709,Declined,GATEWAY,654,408,Employed,13,3690.0,25.0,0.0,25.0,3,KIA,13254.0,N,18775.0,19688.0,0.0,72.0,LIVEWITHPARENTS,32,273.45,1.0,1.0486,INDIRECT,0.00678,N,N
1714,Approved,GATEWAY,821,345,Retired,0,5839.0,2299.0,0.0,2299.0,2,JEEP,44.0,Y,35495.0,43924.0,0.0,84.0,OTHER,108,643.92,4.0,1.2374,INDIRECT,0.39373,N,N
1715,Declined,GATEWAY,618,174,Employed,48,6191.67,1079.0,495.0,2069.0,3,NISSAN,15.0,Y,30075.0,36491.0,800.0,72.0,RENT,48,682.72,1.0,1.2133,INDIRECT,0.33416,N,Y
1716,Approved,GATEWAY,752,311,Employed,200,11279.17,3342.0,0.0,3342.0,2,HYUNDAI,108.0,Y,27125.0,26735.0,0.0,84.0,BUYING,18,409.01,4.0,0.9856,INDIRECT,0.2963,N,Y
1718,Declined,LENDER,689,331,Employed,12,7258.33,1585.0,300.0,1885.0,3,TOYOTA,86033.0,N,10450.0,11550.14,0.0,75.0,OTHER,8,189.27,2.0,1.1052,REFINANCE,0.2597,N,Y
1719,Declined,GATEWAY,589,160,Employed,36,2916.67,376.88,300.0,676.88,3,HYUNDAI,9.0,Y,20902.6956131264,22526.0,500.0,72.0,LIVEWITHPARENTS,24,312.87,1.0,0.9986677530706456,INDIRECT,0.23207,N,N
1722,Approved,GATEWAY,786,336,Employed,11,1583.33,27.0,300.0,327.0,4,CHEVROLET,5258.0,N,19025.0,18324.0,0.0,72.0,LIVEWITHPARENTS,312,331.92,2.0,0.9631,INDIRECT,0.20653,Y,N
1724,Declined,GATEWAY,629,167,Employed,48,2870.0,1983.0,1035.0,3018.0,2,HONDA,17.0,Y,29970.0,35002.0,1000.0,72.0,RENT,36,486.14,3.0,1.1679,INDIRECT,1.05157,N,N
1725,Approved,GATEWAY,663,367,Employed,37,2500.0,61.0,475.0,536.0,6,FORD,64907.0,N,15800.0,14674.0,1000.0,72.0,RENT,12,256.31,1.0,0.9287,INDIRECT,0.2144,N,N
1727,Approved,LENDER,677,103,Employed,257,9596.0,3040.0,0.0,3040.0,6,KIA,36457.0,N,16875.0,18300.0,0.0,66.0,BUYING,220,308.77,19.0,1.0844,REFINANCE-PROMO,0.3168,Y,N
1730,Approved,LENDER,742,303,Employed,24,3340.27,436.0,785.0,1521.0,8,FORD,33249.0,N,23475.0,23447.15,0.0,84.0,RENT,24,338.01,7.0,0.9988,REFINANCE-PROMO,0.45535,N,Y
1731,Declined,LENDER,658,315,Employed,18,3109.08,1074.46,500.0,1574.46,0,UNDECIDED,0.0,Y,20902.6956131264,15000.0,0.0,75.0,RENT,24,247.16,1.0,0.9986677530706456,DEALER PURCHASE,0.50641,N,Y
1736,Approved,LENDER,773,380,Employed,13,1870.0,15.0,300.0,315.0,3,NISSAN,11000.0,N,15370.0,16489.16,0.0,72.0,LIVEWITHPARENTS,2,262.25,4.0,1.0728,REFINANCE-PROMO,0.16845,N,N
1738,Declined,GATEWAY,593,306,Employed,2,3100.0,166.26,0.0,166.26,4,TOYOTA,15.0,Y,20902.6956131264,30657.0,1000.0,72.0,LIVEWITHPARENTS,48,425.8,0.0,0.9986677530706456,INDIRECT,0.05363,Y,N
1739,Declined,LENDER,588,182,Employed,132,4500.0,40.0,300.0,340.0,4,UNDECIDED,0.0,Y,20902.6956131264,11000.0,0.0,60.0,RENT,36,270.2,2.0,0.9986677530706456,REFINANCE,0.07556,N,N
1740,Approved,GATEWAY,774,407,Employed,186,9977.16,1815.0,0.0,2115.0,2,CHEVROLET,10060.0,N,46100.0,42468.0,5000.0,66.0,OTHER,329,716.59,14.0,0.9212,INDIRECT,0.21198,Y,Y
1744,Declined,LENDER,568,77,Employed,288,5648.17,2265.0,0.0,2265.0,0,UNDECIDED,0.0,Y,20902.6956131264,15000.0,0.0,60.0,BUYING,432,368.34,3.0,0.9986677530706456,DEALER PURCHASE,0.40101,Y,N
1745,Approved,GATEWAY,809,388,Employed,181,4666.0,1631.0,0.0,1631.0,4,KIA,29329.0,N,13925.0,13676.0,0.0,75.0,OTHER,277,206.76,6.0,0.9821,INDIRECT,0.34955,N,N
1747,Declined,LENDER,623,359,Employed,5,2166.67,430.0,300.0,730.0,8,TOYOTA,110000.0,N,8525.0,15000.0,0.0,75.0,OTHER,24,282.85,1.0,1.7595,REFINANCE-PROMO,0.33692,Y,N
1748,Declined,GATEWAY,681,191,Employed,48,2916.67,644.0,762.0,1406.0,4,NISSAN,30000.0,N,19425.0,17040.0,0.0,66.0,RENT,24,293.71,1.0,0.8772,CAR SALE,0.48206,N,N
1749,Approved,GATEWAY,735,425,Others,25,2896.0,50.0,300.0,350.0,5,GMC,68287.0,N,19775.0,16566.0,2000.0,72.0,LIVEWITHPARENTS,25,264.63,2.0,0.8377,INDIRECT,0.12086,N,N
